	If ($Event == 1818) @1818;//结局2求证
	If ($Event == 1804) @1804;//结局2救蔷薇回来
	Return;
	
@1804:
	FadeOut();
	DelNpc("孟知秋");
	AddNpc("孟知秋.ini",18,94,7);
	SetPlayerPos(18,95);
	SetPlayerDir(3);
	SetNpcKind("蔷薇",1);
	SetNpcPos("蔷薇",18,93);
	SetNpcDir("蔷薇",1);
	FadeIn();
	Say("蔷薇：爹，这次多亏杨大哥，我才能平安回来。",30);
	Say("孟知秋：杨影枫，老夫一生从不受人恩惠，你这次救了小女一命，可算是对老夫有恩，你想让老夫怎么报答你呢？",42);
	Say("杨影枫：一点小事，谈不上什么报答，这是我应该做的。",3);
	Say("孟知秋：你不是很想学我的武功吗？你为什么不让我传你绝世武功呢？",42);
	Say("杨影枫：晚辈的确很钦佩前辈的绝世武功，但是……晚辈救蔷薇小姐绝不是为了这个目的。",2);
	Say("孟知秋：不知有多少人想拜在我的门下都求之不得，而你有恩于我却……杨影枫，你果然是与众不同啊，怪不得蔷薇这孩子对你情有独钟。",42);
	Say("蔷薇：爹……谁说我喜欢他了？",124);
	NpcGoto("蔷薇",23,83);
	SetNpcPos("蔷薇",24,18);
	Say("孟知秋：杨少侠，不知飞龙堡和我落叶谷有什么过节，为什么要绑架我的女儿？",42);
	Say("杨影枫：晚辈也很奇怪，他们不但绑架了蔷薇，还绑架了我的朋友纳兰真。",2);
	Say("孟知秋：想当初上官飞龙创立飞龙堡时，对堡内弟子要求极其严格，如今怎么会做起这种勾当了？",42);
	Say("杨影枫：其中蹊跷晚辈一定会查个水落石出的。",2);
	Say("孟知秋：听说飞龙堡的现任堡主是一个小姑娘，名叫月眉儿，她年龄虽小，但城府却极深，又工于心计，不好对付啊。",42);
	Say("杨影枫：其实晚辈也曾见过月眉儿数面，而且救过她的性命，她现在不知为何却恩将仇报。",2);
	Say("孟知秋：月眉儿的父亲上官飞龙和令尊当年曾在凌绝峰顶生死一战，不知她是否为此事和杨少侠过不去？",42);
	Say("杨影枫：想必如此，但是上一代的恩怨为什么一定要让我们下一代继续承担呢？",4);
	Say("孟知秋：唉……正所谓：人在江湖，身不由己。",42);
	Say("杨影枫：……晚辈就此告辞了，我还要回去继续寻找纳兰真的下落。",2);
	Say("孟知秋：杨少侠，老夫这里有一本《太极剑谱》，也不是什么武林绝学，有空研习一下，或许对你有帮助。",42);
	Say("杨影枫：……如此多谢前辈了。",3);
	Say("孟知秋：杨少侠，蔷薇这孩子除了有些任性，其他地方都还不错，希望你能好好考虑一下和她的婚事。",42);
	Say("杨影枫：……前辈……请恕晚辈不能从命。",2);
	Say("孟知秋：唉……也罢，你走吧。",42);
	AddGoods("book00-太极剑谱.ini");
	Assign($Event, 1805);
	SetMapTrap(9,"事件71_1.txt");
	Return;
	
@1818:
	Watch("家丁阿甘","杨影枫",0);
	Say("家丁阿甘：杨公子，你来了，找我们家小姐吗？");
	Say("杨影枫：不是，我是来找你们家老爷的，他在吗？");
	Say("家丁阿甘：在，你快进去吧。");
	PlayerRunTo(17,95);
	SetPlayerDir(5);
	Say("孟知秋：哈哈，杨少侠，你是来向薇儿提亲的吗？",42);
	Say("杨影枫：不是！你为什么抢走了《武道德经》，还要打伤纳兰真？",6);
	Say("孟知秋：胡言乱语！老夫何时抢过《武道德经》？又何时打伤了纳兰姑娘？",43);
	Say("杨影枫：你还想不承认？这是我亲眼所见。",6);
	Say("孟知秋：这真是笑话，自从你离开落叶谷后，我一直在闭关修炼恢复元气，出关后恰逢武当天星道长前来拜访，之后我和他一直在切磋武功，这中间怎么可能去夺经伤人呢？",43);
	Say("杨影枫：（沉思）……此言当真？",7);
	Say("孟知秋：不信你可以去向天星道长求证。",42);
	SetNpcPos("蔷薇",23,86);
	NpcGoto("蔷薇",19,94);
	SetNpcDir("蔷薇",1);
	Say("蔷薇：影枫哥！你什么时候来的，怎么都不去找我？",30);
	Say("孟知秋：薇儿，来得正好，你告诉杨影枫这些天我有没有去过忘忧岛。",42);
	Say("蔷薇：爹！怎么回事？",29);
	Say("杨影枫：蔷薇，我在忘忧岛看到你爹抢走了《武道德经》，还打伤了纳兰真。",6);
	Say("蔷薇：这怎么可能？我爹他一直都没有离开过落叶谷。",31);
	Say("杨影枫：但是当时我的确亲眼看见令尊匆匆离开，真儿也是这么说的。",6);
	Say("蔷薇：影枫哥，我爹不会这么做的，你一定是看错了",31);
	Say("杨影枫：可是真儿难道也看错了吗？",6);
	Say("孟知秋：杨少侠如果不相信我们父女二人，可以去武当问问天星道长。",42);
	Say("杨影枫：好，我就去一趟武当，一定会把这件事查个水落石出的。",2);
	Say("蔷薇：影枫哥，我要跟你一起去。",31);
	Say("孟知秋：薇儿，你真的要跟他去吗？",42);
	Say("蔷薇：爹，我相信你一定是被人陷害的，我要给你讨回清白。",31);
	Say("孟知秋：既然如此，你路上要多加小心。",42);
	Say("杨影枫：前辈，我会照顾好蔷薇的，你放心好了。",2);
	Say("孟知秋：唉……希望你们早去早回。",42);
	SetNpcKind("蔷薇",3);
	Assign($Event,1819);
	StopMusic();
	PlayMusic("mc017.mp3");
	Return;
